phase,epoch,batch_idx,batch_size,loss,mean_iou,time
train,2,48.0,8.0,0.3097361624240875,0.4811786711215973,872.5798890590668
train,2,49.0,8.0,0.4022272229194641,0.4185752868652344,890.8828368186951
train,2,50.0,8.0,0.39823007583618164,0.6171388626098633,908.5072338581085
train,2,51.0,8.0,0.42498964071273804,0.7196862697601318,925.9285340309143
train,2,52.0,8.0,0.36985576152801514,0.6566039323806763,944.1740310192108
train,2,53.0,8.0,0.45211920142173767,0.5268329381942749,961.7530348300934
train,2,54.0,8.0,0.3116246163845062,0.6553494334220886,978.6944050788879
train,2,55.0,8.0,0.3556347191333771,0.7557665109634399,996.2154409885406
train,2,56.0,8.0,0.32900190353393555,0.5461165308952332,1013.7822570800781
train,2,57.0,8.0,0.3723456561565399,0.7508310675621033,1030.8370819091797
train,2,58.0,8.0,0.43114936351776123,0.5503519773483276,1048.007208108902
train,2,59.0,8.0,0.4973394572734833,0.41764092445373535,1065.148158788681
train,2,60.0,8.0,0.2824912369251251,0.5475485920906067,1082.725327014923
train,2,61.0,8.0,0.4026157259941101,0.6266412734985352,1100.1254618167877
train,2,62.0,8.0,0.30848053097724915,0.6173480749130249,1118.2946438789368
train,2,63.0,8.0,0.3415389657020569,0.5928397178649902,1135.457818031311
train,2,64.0,8.0,0.3128281831741333,0.6328864693641663,1152.5047657489777
train,2,65.0,8.0,0.33986416459083557,0.8085357546806335,1170.4054861068726
train,2,66.0,8.0,0.6119014620780945,0.29853254556655884,1188.0688080787659
train,2,67.0,8.0,0.40340399742126465,0.4776967167854309,1205.6901049613953
train,2,68.0,8.0,0.3863312005996704,0.7778401374816895,1223.9697959423065
train,2,69.0,8.0,0.4180045425891876,0.6533082723617554,1241.6280601024628
train,2,70.0,8.0,0.38658323884010315,0.7080336809158325,1259.1712827682495
train,2,71.0,8.0,0.29072290658950806,0.719835638999939,1277.071532011032
train,2,72.0,8.0,0.533350944519043,0.3373653292655945,1295.207592010498
train,2,73.0,8.0,0.26543647050857544,0.6218962073326111,1313.9523749351501
train,2,74.0,8.0,0.33557116985321045,0.5314549803733826,1333.0301060676575
train,2,75.0,8.0,0.3825128674507141,0.5271244049072266,1350.7471148967743
train,2,76.0,8.0,0.3435962200164795,0.6905070543289185,1368.5736391544342
train,2,77.0,8.0,0.3401874303817749,0.4688871204853058,1387.830314874649
train,2,78.0,8.0,0.3588884770870209,0.6456171274185181,1407.604828119278
train,2,79.0,8.0,0.3777979016304016,0.7184541821479797,1424.969083070755
train,2,80.0,8.0,0.37686118483543396,0.49488574266433716,1441.8517050743103
train,2,81.0,8.0,0.46897032856941223,0.5820983648300171,1459.2614359855652
train,2,82.0,8.0,0.3627554774284363,0.6992396712303162,1476.8402359485626
train,2,83.0,8.0,0.6020841598510742,0.32090479135513306,1494.310837984085
train,2,84.0,8.0,0.3135584592819214,0.7152450680732727,1511.5880181789398
train,2,85.0,8.0,0.35422438383102417,0.647750735282898,1530.8035497665405
train,2,86.0,8.0,0.5539790391921997,0.39294368028640747,1548.1740400791168
train,2,87.0,8.0,0.38173359632492065,0.4950329661369324,1565.0596101284027
train,2,88.0,8.0,0.5673453211784363,0.48913058638572693,1583.1758408546448
train,2,89.0,8.0,0.4140978753566742,0.46797654032707214,1600.9258470535278
train,2,90.0,8.0,0.5948825478553772,0.33766797184944153,1617.884386062622
train,2,91.0,8.0,0.3346288800239563,0.7058414816856384,1635.699695110321
train,2,92.0,8.0,0.3638487458229065,0.8598729968070984,1653.9078052043915
train,2,93.0,8.0,0.3245411515235901,0.6356700658798218,1671.24844789505
train,2,94.0,8.0,0.44326138496398926,0.5601720213890076,1688.3049619197845
train,2,95.0,8.0,0.36791282892227173,0.4415076971054077,1706.2032430171967
train,2,96.0,8.0,0.3068009614944458,0.8503073453903198,1724.2671899795532
train,2,97.0,8.0,0.3612692952156067,0.4342655837535858,1741.0779519081116
train,2,98.0,8.0,0.3516056537628174,0.5334254503250122,1758.642371892929
train,2,99.0,8.0,0.48546046018600464,0.43660983443260193,1776.5403409004211
train,2,100.0,8.0,0.3677665889263153,0.5060074925422668,1794.6949648857117
train,2,101.0,8.0,0.4762103855609894,0.5425827503204346,1812.1761980056763
train,2,102.0,8.0,0.33074334263801575,0.5927059650421143,1829.989420890808
train,2,103.0,8.0,0.6123790144920349,0.42856863141059875,1848.4164400100708
train,2,104.0,8.0,0.25826284289360046,0.7337237000465393,1865.6277208328247
train,2,105.0,8.0,0.5125107765197754,0.6223829984664917,1883.4576790332794
train,2,106.0,8.0,0.343050092458725,0.5864020586013794,1900.51815700531
train,2,107.0,8.0,0.42964768409729004,0.39483335614204407,1917.4761159420013
train,2,108.0,8.0,0.30146780610084534,0.7668214440345764,1935.491024017334
train,2,109.0,8.0,0.23776809871196747,0.6497583389282227,1952.7303338050842
train,2,110.0,8.0,0.42899182438850403,0.3162872791290283,1970.7183520793915
train,2,111.0,8.0,0.3626442849636078,0.5509297251701355,1988.9539589881897
train,2,112.0,8.0,0.5575124621391296,0.3510837256908417,2007.4943389892578
train,2,113.0,8.0,0.2598412036895752,0.7670387029647827,2025.5863349437714
train,2,114.0,8.0,0.5081842541694641,0.3383263349533081,2042.471431016922
train,2,115.0,8.0,0.3452818989753723,0.791924238204956,2059.4109201431274
train,2,116.0,8.0,0.30360326170921326,0.6160348057746887,2078.90190410614
train,2,117.0,8.0,0.4368915557861328,0.5549036264419556,2098.43039894104
train,2,118.0,8.0,0.420896053314209,0.48337578773498535,2117.8354201316833
train,2,119.0,8.0,0.3519439995288849,0.6758394837379456,2136.69544005394
train,2,120.0,8.0,0.40584105253219604,0.4056173861026764,2153.5930709838867
train,2,121.0,8.0,0.4611337184906006,0.48726892471313477,2171.4813890457153
train,2,122.0,8.0,0.3609189987182617,0.5376021265983582,2189.1545939445496
train,2,123.0,8.0,0.34953629970550537,0.8015357255935669,2207.602623939514
train,2,124.0,8.0,0.4715172052383423,0.5623607635498047,2225.0634648799896
train,2,125.0,8.0,0.4309399425983429,0.5288878679275513,2242.586172103882
train,2,126.0,8.0,0.4469013810157776,0.3833782970905304,2260.549721956253
train,2,127.0,8.0,0.45534077286720276,0.35973265767097473,2279.063464164734
train,2,128.0,8.0,0.44483113288879395,0.6085506081581116,2297.1954979896545
train,2,129.0,8.0,0.3382166028022766,0.5693226456642151,2316.1124289035797
train,2,130.0,8.0,0.40251314640045166,0.6727744936943054,2334.1423988342285
train,2,131.0,8.0,0.24045197665691376,0.7351964712142944,2351.1746850013733
train,2,132.0,8.0,0.23902156949043274,0.7572718262672424,2369.4875450134277
train,2,133.0,8.0,0.2446441948413849,0.8703250885009766,2386.9702608585358
train,2,134.0,8.0,0.41464361548423767,0.5389463305473328,2404.187691926956
train,2,135.0,8.0,0.34992682933807373,0.5369992852210999,2421.9611020088196
train,2,136.0,8.0,0.38615691661834717,0.6015664935112,2440.5168628692627
train,2,137.0,8.0,0.2523556351661682,0.7239902019500732,2458.054109096527
train,2,138.0,8.0,0.47899582982063293,0.5094443559646606,2475.8303060531616
train,2,139.0,8.0,0.25935399532318115,0.6263675093650818,2493.8462948799133
train,2,140.0,8.0,0.39389288425445557,0.6612389087677002,2510.815982103348
train,2,141.0,8.0,0.4462108314037323,0.6412626504898071,2527.721561908722
train,2,142.0,8.0,0.39182713627815247,0.6911419034004211,2545.4261689186096
train,2,143.0,8.0,0.4075496196746826,0.6590934991836548,2562.9294497966766
train,2,144.0,8.0,0.3202001750469208,0.5870346426963806,2581.829780817032
train,2,145.0,8.0,0.41606229543685913,0.46124809980392456,2600.999613046646
train,2,146.0,8.0,0.43122321367263794,0.4146515130996704,2619.782049894333
train,2,147.0,8.0,0.4751696288585663,0.6607339382171631,2637.027218103409
train,2,148.0,8.0,0.3755139708518982,0.5048391222953796,2654.212214946747
train,2,149.0,8.0,0.38068217039108276,0.5910871624946594,2672.1321909427643
train,2,150.0,8.0,0.48706698417663574,0.4297220706939697,2689.024587869644
train,2,151.0,8.0,0.4324682652950287,0.5418089628219604,2705.888706922531
train,2,152.0,8.0,0.4280149042606354,0.5177522897720337,2722.7372109889984
train,2,153.0,8.0,0.24433356523513794,0.6116536259651184,2740.663470029831
train,2,154.0,8.0,0.5318142175674438,0.3932573199272156,2757.9057059288025
train,2,155.0,8.0,0.5169761180877686,0.5373632311820984,2775.574282884598
train,2,156.0,8.0,0.3434581160545349,0.41251951456069946,2792.6657938957214
val,2,,,0.3773213308304548,0.5969317197799683,2993.0776739120483
train,3,0.0,8.0,0.4550793170928955,0.33581775426864624,20.722490787506104
train,3,1.0,8.0,0.36798352003097534,0.5822757482528687,38.134408950805664
train,3,2.0,8.0,0.4774571657180786,0.3551611602306366,55.367451906204224
train,3,3.0,8.0,0.3813759982585907,0.3782872259616852,73.06309390068054
train,3,4.0,8.0,0.540107250213623,0.38208329677581787,90.75599884986877
train,3,5.0,8.0,0.31362196803092957,0.7538881301879883,110.0047447681427
train,3,6.0,8.0,0.29498565196990967,0.7621091604232788,126.88552069664001
train,3,7.0,8.0,0.3523726165294647,0.7540112137794495,143.79592490196228
train,3,8.0,8.0,0.2725136876106262,0.8002884387969971,161.01934480667114
train,3,9.0,8.0,0.3428879380226135,0.7581382989883423,178.38213682174683
train,3,10.0,8.0,0.3543851971626282,0.6415824294090271,197.44988894462585
train,3,11.0,8.0,0.4968661963939667,0.6822582483291626,215.61380887031555
train,3,12.0,8.0,0.46633365750312805,0.3930816054344177,232.9844536781311
train,3,13.0,8.0,0.441928505897522,0.41290879249572754,250.8060805797577
train,3,14.0,8.0,0.3346816599369049,0.5824633836746216,268.43257665634155
train,3,15.0,8.0,0.3500174283981323,0.538776159286499,286.68573784828186
train,3,16.0,8.0,0.4505138099193573,0.48833388090133667,305.31244587898254
train,3,17.0,8.0,0.3774128556251526,0.39813369512557983,323.8466317653656
train,3,18.0,8.0,0.4102385938167572,0.5203368067741394,341.991858959198
train,3,19.0,8.0,0.3778814375400543,0.6043110489845276,360.08028268814087
train,3,20.0,8.0,0.3534037172794342,0.6538244485855103,377.24751472473145
train,3,21.0,8.0,0.3952522277832031,0.6815721988677979,394.74522495269775
train,3,22.0,8.0,0.4909680485725403,0.23973572254180908,412.28558373451233
train,3,23.0,8.0,0.49117591977119446,0.5928558111190796,430.39578080177307
train,3,24.0,8.0,0.24829421937465668,0.7408419251441956,449.5936818122864
train,3,25.0,8.0,0.3678291141986847,0.5955544710159302,466.7756836414337
train,3,26.0,8.0,0.4598822593688965,0.571279764175415,484.08043789863586
train,3,27.0,8.0,0.3488524854183197,0.6875766515731812,501.3672697544098
train,3,28.0,8.0,0.3413963317871094,0.5035147666931152,520.6455569267273
train,3,29.0,8.0,0.4495771825313568,0.517776608467102,539.537693977356
train,3,30.0,8.0,0.21563315391540527,0.833512544631958,557.3403327465057
train,3,31.0,8.0,0.39494723081588745,0.4960407316684723,575.3767359256744
train,3,32.0,8.0,0.37479186058044434,0.606869101524353,593.164942741394
train,3,33.0,8.0,0.29930242896080017,0.7492486238479614,612.2084589004517
train,3,34.0,8.0,0.34456202387809753,0.6760745048522949,631.7084028720856
train,3,35.0,8.0,0.4876868724822998,0.5487745404243469,649.8982977867126
train,3,36.0,8.0,0.4367843568325043,0.4352339804172516,667.2762596607208
train,3,37.0,8.0,0.2458566576242447,0.7188588380813599,684.2720258235931
train,3,38.0,8.0,0.2851521670818329,0.653974175453186,701.2590079307556
train,3,39.0,8.0,0.3413524627685547,0.5422467589378357,719.0021135807037
train,3,40.0,8.0,0.4372480511665344,0.6180940866470337,736.8408207893372
train,3,41.0,8.0,0.3644637167453766,0.4209006726741791,754.2007057666779
train,3,42.0,8.0,0.27090856432914734,0.569551944732666,772.1925168037415
train,3,43.0,8.0,0.3939669132232666,0.4911126494407654,789.8557839393616
train,3,44.0,8.0,0.3958005905151367,0.4545932114124298,807.2899098396301
train,3,45.0,8.0,0.34109678864479065,0.6636767387390137,825.6104338169098
train,3,46.0,8.0,0.4386575520038605,0.655542254447937,843.8392009735107
train,3,47.0,8.0,0.4653128981590271,0.3797818720340729,862.5510747432709
